[2025-06-28 16:49:51] [INFO    ] discord.client: logging in using static token
[2025-06-28 16:49:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Tuku', 'primary_guild': None, 'mfa_enabled': False, 'id': '1388193471512186941', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4926', 'clan': None, 'bot': True, 'avatar': 'f7674fdc28c67277c363334a80c6d110'}, 'session_type': 'normal', 'session_id': '2aa5a0e153735a995880d2126586979f', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1388202246814040194'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['bucharest', 'warsaw', 'frankfurt', 'frankfurt-two', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1388193471512186941', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-w1fg",{"micros":78025,"calls":["id_created",{"micros":528,"calls":[]},"session_lookup_time",{"micros":277,"calls":[]},"session_lookup_finished",{"micros":7,"calls":[]},"discord-sessions-prd-2-6",{"micros":76868,"calls":["start_session",{"micros":52892,"calls":["discord-api-rpc-5fcb5bd8fb-l282l",{"micros":41168,"calls":["get_user",{"micros":6297},"get_guilds",{"micros":6371},"send_scheduled_deletion_message",{"micros":18},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":2991},"apex_experiments",{"micros":1463},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":61,"calls":[]},"presence_started",{"micros":321,"calls":[]},"guilds_started",{"micros":97,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":23479,"calls":[]},"connect_finished",{"micros":23483,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-06-28 16:49:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-28 16:49:52] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 2aa5a0e153735a995880d2126586979f).
[2025-06-28 16:49:52] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-28 16:49:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'stickers': [], 'member_count': 4, 'joined_at': '2025-06-27T17:18:29.629000+00:00', 'nsfw': False, 'profile': None, 'activity_instances': [], 'system_channel_flags': 0, 'preferred_locale': 'en-US', 'safety_alerts_channel_id': None, 'id': '1388202246814040194', 'owner_configured_content_level': 0, 'nsfw_level': 0, 'name': 'Level20', 'system_channel_id': None, 'latest_onboarding_question_id': None, 'threads': [], 'premium_subscription_count': 0, 'application_id': None, 'explicit_content_filter': 0, 'incidents_data': None, 'rules_channel_id': None, 'premium_tier': 0, 'afk_timeout': 300, 'description': None, 'emojis': [], 'icon': 'f978282fbfd7c2dc7e781a488862deff', 'presences': [], 'unavailable': False, 'large': False, 'max_members': 1500000, 'channels': [{'version': 1751105495542, 'type': 4, 'position': 0, 'permission_overwrites': [{'type': 1, 'id': '1345003516527116349', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1388202246814040194', 'deny': '1049600', 'allow': '0'}, {'type': 1, 'id': '424604871463796746', 'deny': '0', 'allow': '1049600'}], 'name': 'Board', 'id': '1388205860110733373', 'flags': 0}, {'version': 1751105495657, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1388202246814040194', 'deny': '1049600', 'allow': '0'}, {'type': 1, 'id': '1345003516527116349', 'deny': '0', 'allow': '1049600'}, {'type': 1, 'id': '424604871463796746', 'deny': '0', 'allow': '1049600'}], 'parent_id': '1388205860110733373', 'name': 'Admin - Voice channel', 'last_message_id': None, 'id': '1388205978209489006', 'flags': 0, 'bitrate': 64000}, {'version': 1751105495613, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 1, 'id': '1345003516527116349', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1388202246814040194', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '424604871463796746', 'deny': '0', 'allow': '1024'}], 'parent_id': '1388205860110733373', 'name': 'admin-text-channel', 'last_message_id': '1388392697227771926', 'id': '1388206148078796840', 'flags': 0}, {'version': 1751045280801, 'type': 4, 'position': 2, 'permission_overwrites': [], 'name': 'Level 1', 'id': '1388206860150112356', 'flags': 0}, {'version': 1751044826874, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1388206860150112356', 'name': 'general', 'last_message_id': '1388458821982355556', 'id': '1388207362476740728', 'flags': 0}, {'version': 1751105495596, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'Level 2', 'id': '1388207555473440818', 'flags': 0}, {'version': 1751105495635, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1388207555473440818', 'name': 'general', 'last_message_id': None, 'id': '1388207682858782881', 'flags': 0}], 'premium_progress_bar_enabled': False, 'splash': None, 'application_command_counts': {}, 'max_stage_video_channel_users': 50, 'premium_features': None, 'verification_level': 0, 'afk_channel_id': None, 'members': [{'user': {'username': 'Tuku', 'public_flags': 0, 'primary_guild': None, 'id': '1388193471512186941', 'global_name': None, 'display_name': None, 'discriminator': '4926', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'f7674fdc28c67277c363334a80c6d110'}, 'roles': ['1388206870405316692'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-27T17:18:29.629000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'stage_instances': [], 'home_header': None, 'guild_scheduled_events': [], 'inventory_settings': None, 'lazy': True, 'discovery_splash': None, 'embedded_activities': [], 'mfa_level': 0, 'default_message_notifications': 0, 'soundboard_sounds': [], 'hub_type': None, 'moderator_reporting': None, 'features': ['ENABLED_MODERATION_EXPERIENCE_FOR_NON_COMMUNITY'], 'version': 1751089297965, 'max_video_channel_users': 25, 'public_updates_channel_id': None, 'roles': [{'version': 1751043607268, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1388202246814040194', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1751088919525, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '2108859006582783', 'name': 'Board member', 'mentionable': True, 'managed': False, 'id': '1388204823274586212', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 1751089118369, 'unicode_emoji': None, 'tags': {'bot_id': '1388193471512186941'}, 'position': 1, 'permissions': '9109357292720', 'name': 'Tuku', 'mentionable': True, 'managed': True, 'id': '1388206870405316692', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'banner': None, 'region': 'deprecated', 'voice_states': [], 'vanity_url_code': None, 'owner_id': '247054069317894145'}}
[2025-06-28 16:49:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-28 16:49:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'efbabf61900f760f1664df85de183849', 'members': [{'user': {'username': '.ivascu', 'public_flags': 0, 'primary_guild': None, 'id': '247054069317894145', 'global_name': 'Ivascu', 'display_name': 'Ivascu', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '0f021a71895bef6e93a0c3a5debcbdd3'}, 'roles': ['1388204823274586212'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-27T17:00:07.207000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'nicuoficial', 'public_flags': 0, 'primary_guild': None, 'id': '424604871463796746', 'global_name': 'Knives', 'display_name': 'Knives', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5244c461dac6646f52c83326b776c0fb'}, 'roles': ['1388204823274586212'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-27T17:00:43.959000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'lmk100', 'public_flags': 0, 'primary_guild': None, 'id': '1345003516527116349', 'global_name': 'lmk100', 'display_name': 'lmk100', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1388204823274586212'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-27T17:00:21.636000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Tuku', 'public_flags': 0, 'primary_guild': None, 'id': '1388193471512186941', 'global_name': None, 'display_name': None, 'discriminator': '4926', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'f7674fdc28c67277c363334a80c6d110'}, 'roles': ['1388206870405316692'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-27T17:18:29.629000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1388202246814040194', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-28 16:49:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-28 16:49:52] [DEBUG   ] discord.state: Processed a chunk for 4 members in guild ID 1388202246814040194.
[2025-06-28 16:49:54] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-28 16:49:54] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-28 16:50:33] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-06-28 16:50:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-28 16:50:54] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '424604871463796746', 'timestamp': 1751125857, 'member': {'user': {'username': 'nicuoficial', 'public_flags': 0, 'primary_guild': None, 'id': '424604871463796746', 'global_name': 'Knives', 'display_name': 'Knives', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5244c461dac6646f52c83326b776c0fb'}, 'roles': ['1388204823274586212'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-27T17:00:43.959000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1388207362476740728', 'guild_id': '1388202246814040194'}}
[2025-06-28 16:50:54] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-28 16:50:54] [DEBUG   ] discord.client: Dispatching event typing
[2025-06-28 16:50:54] [DEBUG   ] discord.client: Dispatching event raw_typing
